t_cmd,cmd_thrust,cmd_phi,cmd_theta,cmd_psi
1.350000000000001,0x1.77e0a707c070fp+15,-0x1.1f50ef9000000p+6,0x1.39eda00000000p+7,-0x1.5c7e458400000p+7
1.380000000000001,0x1.77ee156374048p+15,0x1.107ac77000000p+6,-0x1.9b46b1c000000p+7,0x1.3f15d3c700000p+7
1.410000000000001,0x1.77f9aed47919dp+15,-0x1.14726a9000000p+6,0x1.5fdc5f9000000p+7,-0x1.2dee39c700000p+7
1.440000000000001,0x1.7803a3f21eac0p+15,0x1.527af6e000000p+6,-0x1.c3f80d8000000p+7,0x1.8fccb68200000p+9
1.470000000000001,0x1.780bbb3899572p+15,-0x1.169d947000000p+8,0x1.2b3fa2b000000p+8,-0x1.0e5b681e00000p+8
1.500000000000001,0x1.781261c29c94fp+15,-0x1.aaf1fc6000000p+7,-0x1.1b87020000000p+8,0x1.b47ab75400000p+7
1.5300000000000011,0x1.7817c00af5a10p+15,-0x1.0b4e253000000p+7,0x1.96c8d74000000p+7,-0x1.2359328c00000p+8
1.5600000000000012,0x1.781ae31031d6fp+15,-0x1.39e69e4000000p+5,-0x1.b7c316e000000p+7,0x1.8621265e00000p+8
1.5900000000000012,0x1.781b5ce89a8eep+15,-0x1.1f03df7000000p+6,0x1.91613f4000000p+7,-0x1.64366d0600000p+7
1.6200000000000012,0x1.781934fe36b88p+15,0x1.484186d000000p+4,-0x1.778a949000000p+7,0x1.35a42bdb00000p+8
1.6500000000000012,0x1.781478050ee7fp+15,-0x1.c2a616c000000p+5,0x1.69ae5e6000000p+7,-0x1.64ca573c00000p+7
1.6800000000000013,0x1.780d34e415428p+15,0x1.421613c000000p+5,-0x1.4ef2d51000000p+7,0x1.d10517f200000p+7
1.7100000000000013,0x1.7803959ba403fp+15,-0x1.9f40eb6000000p+5,0x1.4461635000000p+7,-0x1.59344d1500000p+7
1.7400000000000013,0x1.77f7b810c3709p+15,0x1.6fae068000000p+5,-0x1.2ea355f000000p+7,0x1.7229638700000p+7
1.7700000000000014,0x1.77e9cd841c4e1p+15,-0x1.9399a4a000000p+5,0x1.2eccae5000000p+7,-0x1.379cadaa00000p+7
1.8000000000000014,0x1.77d9fdc742da5p+15,0x1.7c24108000000p+5,-0x1.1c16f72000000p+7,0x1.37ab031900000p+7
1.8300000000000014,0x1.77c86f230a84ep+15,-0x1.8788c1f000000p+5,0x1.1ec1efc000000p+7,-0x1.1c9c31f600000p+7
1.8600000000000014,0x1.77b545400923cp+15,0x1.74f08d7000000p+5,-0x1.0ebdbdc000000p+7,0x1.15bcb1d500000p+7
1.8900000000000015,0x1.77a0ac086c6f1p+15,-0x1.71762d8000000p+5,0x1.10ef91e000000p+7,-0x1.08ae2c4900000p+7
1.9200000000000015,0x1.778ac1581b321p+15,0x1.683c1f9000000p+5,-0x1.024bcaa000000p+7,0x1.02bc8e1b00000p+7
1.9500000000000015,0x1.7773a659ba995p+15,-0x1.f6881ec000000p+5,0x1.4f2b6e2000000p+7,-0x1.773030ea00000p+9
1.9800000000000015,0x1.775b2fe8162cap+15,0x1.feac7ba000000p+5,0x1.2dadee8000000p+7,0x1.6ad820d700000p+5
2.010000000000001,0x1.7741c0adcdc49p+15,-0x1.a70e6de000000p+5,0x1.a1626a4000000p+6,-0x1.f345c62c00000p+6
2.0400000000000005,0x1.77277dd1a1da1p+15,0x1.92ecb1a000000p+5,0x1.8a97456000000p+2,-0x1.05f6b43f00000p+6
2.07,0x1.770bf86423b1ap+15,-0x1.585442b000000p+5,0x1.6d73f50000000p+6,-0x1.2103b67e00000p+4
2.099999999999999,0x1.76ef399bd4ce3p+15,0x1.32815cd000000p+5,-0x1.2d331de000000p+5,-0x1.97d7bed000000p+3
2.1299999999999986,0x1.76d15710c3370p+15,-0x1.19e6d24000000p+5,0x1.3f827d1000000p+6,-0x1.a9a9566400000p+4
2.159999999999998,0x1.76b26d06478f4p+15,0x1.2c7b525000000p+8,-0x1.8106748000000p+6,0x1.cf92108c00000p+7
2.1899999999999973,0x1.7692a0811f7b2p+15,-0x1.3995a30000000p+5,0x1.8c5d259000000p+7,0x1.4987d7a100000p+4
2.2199999999999966,0x1.76725248878afp+15,0x1.2fb6145000000p+7,-0x1.4ba9b9a000000p+7,-0x1.2c718b3000000p+4
2.249999999999996,0x1.7651c16d97383p+15,-0x1.0418425000000p+6,0x1.55692a7000000p+7,-0x1.e5b408d400000p+6
2.2799999999999954,0x1.76310ea7c328dp+15,0x1.8423354000000p+6,-0x1.515d938000000p+7,0x1.32bbd78400000p+5
2.3099999999999947,0x1.7610643dd973fp+15,-0x1.0ddab3e000000p+6,0x1.3e77a62000000p+7,-0x1.131f546900000p+7
2.339999999999994,0x1.75efda1927f4ep+15,0x1.282af20000000p+6,-0x1.41d9d5e000000p+7,0x1.644d535400000p+6
2.3699999999999934,0x1.75cf91f0af43bp+15,-0x1.f90b360000000p+5,0x1.309695c000000p+7,-0x1.0aaf639600000p+7
2.399999999999993,0x1.75af9dc6ef84ap+15,0x1.f05ef8c000000p+5,-0x1.2fb4331000000p+7,0x1.c234fda000000p+6
2.429999999999992,0x1.759017ceb1afap+15,-0x1.d3427b4000000p+5,0x1.24ad15e000000p+7,-0x1.02e5968000000p+7
2.4599999999999915,0x1.757114d69a0bep+15,0x1.bc0b096000000p+5,-0x1.1fc77c0000000p+7,0x1.e5587e4200000p+6
2.489999999999991,0x1.75529e0e3a065p+15,-0x1.b5abfe8000000p+5,0x1.1993ec6000000p+7,-0x1.f92e168400000p+6
2.5199999999999902,0x1.7534c3750023ap+15,0x1.0d6be4b000000p+6,-0x1.667688d000000p+8,0x1.ff5927ba00000p+9
2.5499999999999896,0x1.7517045b0267cp+15,-0x1.5c2172a000000p+6,0x1.ab9a108000000p+5,-0x1.71dfd20800000p+7
2.579999999999989,0x1.74fa108ad5ffbp+15,0x1.37c1c40000000p+6,-0x1.0f941f0000000p+8,0x1.5e5d4ae900000p+8
2.6099999999999883,0x1.74de7fea1782fp+15,-0x1.4289722000000p+6,0x1.a6ff030000000p+6,-0x1.14d3810e00000p+7
2.6399999999999877,0x1.74c3d3abed6fbp+15,0x1.25cfa32000000p+6,-0x1.b1814b8000000p+7,0x1.7136edb400000p+7
2.669999999999987,0x1.74aa125b06193p+15,-0x1.1daf924000000p+6,0x1.084dcac000000p+7,-0x1.05faebd600000p+7
2.6999999999999864,0x1.74912d44b6851p+15,0x1.0c50fd4000000p+6,-0x1.6f2331e000000p+7,0x1.22ad48c800000p+7
2.7299999999999858,0x1.7479248ffa020p+15,0x1.8048aa9000000p+8,0x1.7fbc7ca000000p+5,0x1.6510032c00000p+8
2.759999999999985,0x1.7461dcbfcda01p+15,0x1.f2e34ec000000p+7,0x1.0b79b33000000p+6,0x1.b3f3002a00000p+7
2.7899999999999845,0x1.744b832e0079fp+15,0x1.0b29abb000000p+7,0x1.0e4358f000000p+4,-0x1.7b7e219800000p+6
2.819999999999984,0x1.743662ba38877p+15,0x1.44abff5000000p+6,-0x1.2561d43000000p+4,-0x1.0d30840100000p+7
2.849999999999983,0x1.742291a3eff87p+15,0x1.3e0b79f000000p+5,-0x1.fd85a58000000p+2,-0x1.0674609c00000p+7
2.8799999999999826,0x1.74101a34e8159p+15,0x1.bf157aa000000p+4,-0x1.748e9d9000000p+4,-0x1.5c78465c00000p+6
2.909999999999982,0x1.73ff0adb8916ap+15,0x1.4bdb7b2000000p+3,-0x1.60e123d000000p+1,-0x1.169ce6ce00000p+6
2.9399999999999813,0x1.73ef74c14eebdp+15,0x1.542f2ba000000p+3,-0x1.14eba68000000p+4,-0x1.095cf85500000p+5
2.9699999999999807,0x1.73e155d89802ep+15,0x1.558fc22000000p-1,0x1.bcd3bb8000000p+1,-0x1.064d5ec500000p+5
2.99999999999998,0x1.73d4b71ba0839p+15,0x1.2e69f99000000p+2,-0x1.919988a000000p+3,-0x1.a0b108e000000p+2
3.0299999999999794,0x1.73c9a4ad915b2p+15,-0x1.04409c0000000p+1,0x1.ecffdfa000000p+2,-0x1.039b93db00000p+4
3.0599999999999787,0x1.73c01a24e1692p+15,0x1.27cfc3d000000p+1,-0x1.205f250000000p+3,0x1.227e06a300000p+2
3.089999999999978,0x1.73b81a9fb10a7p+15,-0x1.1bec9cf000000p+2,-0x1.52400c1000000p+6,0x1.6606646a00000p+4
3.1199999999999775,0x1.73b1ac8d11168p+15,0x1.02f8ec8000000p+0,0x1.84d989d000000p+1,-0x1.ad3dd66a00000p+5
3.149999999999977,0x1.73acccc4263dfp+15,-0x1.75373fe000000p-1,-0x1.71af245000000p+5,0x1.869019b000000p+5
3.179999999999976,0x1.73a97821faa8fp+15,-0x1.31c7556000000p+1,0x1.f67b924000000p+3,-0x1.5ed4d20800000p+5
3.2099999999999755,0x1.73a7b05733db0p+15,0x1.6bca7e4000000p+4,-0x1.360d2ff000000p+6,0x1.6ce5c8b600000p+9
3.239999999999975,0x1.73a72710d8850p+15,-0x1.0b7efde000000p+5,0x1.6d6e1db000000p+6,-0x1.0e5d8bf800000p+5
3.2699999999999743,0x1.73a8389114911p+15,0x1.2fffe9e000000p+5,-0x1.8743629000000p+6,0x1.08f6556e00000p+8
3.2999999999999736,0x1.73ab2777ab6ebp+15,-0x1.3d16687000000p+5,0x1.ac1ed72000000p+6,-0x1.18e2678d00000p+6
3.329999999999973,0x1.73afa9f7ac717p+15,0x1.2525fd7000000p+5,-0x1.9a974dc000000p+6,0x1.1690560200000p+7
3.3599999999999723,0x1.73b5c5ce29988p+15,-0x1.3852989000000p+5,0x1.b059cfc000000p+6,-0x1.5c62664300000p+6
3.3899999999999717,0x1.73bd792b2b50fp+15,0x1.137d785000000p+5,-0x1.9708e10000000p+6,0x1.b3ef4de000000p+6
3.419999999999971,0x1.73c6c714da37cp+15,-0x1.2862380000000p+5,0x1.a4054b0000000p+6,-0x1.77a5b00400000p+6
3.4499999999999704,0x1.73d1ab6c7bf6cp+15,0x1.0c11032000000p+5,-0x1.8ac3ae2000000p+6,0x1.9739188e00000p+6
3.47999999999997,0x1.73de234793503p+15,-0x1.193a1f5000000p+5,0x1.9503886000000p+6,-0x1.7f9d3dfe00000p+6
3.509999999999969,0x1.73ec2ed5a11c8p+15,0x1.ff11c3c000000p+4,-0x1.785610c000000p+6,0x1.8b6a4f8c00000p+6
3.5399999999999685,0x1.73fbd2f1154a2p+15,-0x1.114d424000000p+5,0x1.818b943000000p+6,-0x1.8035bf0200000p+6
3.569999999999968,0x1.740d082a26539p+15,0x1.ed42510000000p+4,-0x1.642d20c000000p+6,0x1.80c9db0600000p+6
3.5999999999999672,0x1.741fcefff9994p+15,-0x1.0ad1302000000p+5,0x1.6d1ca89000000p+6,-0x1.79bb331e00000p+6
