t,z,u,v,w,phi,theta,psi,p,q,r
0.5100000000000002,0x1.d4a95cb419dffp-1,-0x1.8143373191876p-2,-0x1.7895a9322861cp-1,-0x1.10973914653b8p-3,0x1.17467c62eeedbp-4,-0x1.67250c51c4807p-3,-0x1.8d751157d580cp-1,0x1.29916b5639647p-3,-0x1.30bc07023fabbp-3,-0x1.e3395258d8ecbp-4
0.5400000000000003,0x1.d0d46830997f2p-1,-0x1.b47f826fbaf94p-2,-0x1.8411c24454372p-1,-0x1.febb44355d435p-4,0x1.2c3faf6451587p-4,-0x1.708ffc46cac1cp-3,-0x1.8f6e939c67ae2p-1,0x1.3481862800c2bp-3,-0x1.66297729fabeep-3,-0x1.cdeec1e65f075p-4
0.5700000000000003,0x1.cce27f5d51ef0p-1,-0x1.e8fd4a82095e9p-2,-0x1.9060b111542f4p-1,-0x1.d6bdc5fddc283p-4,0x1.413fde171dd9fp-4,-0x1.79de9fb2a8bf5p-3,-0x1.916cc3c4a34e6p-1,0x1.272d81feda384p-3,-0x1.2c29a7ff57ed8p-3,-0x1.e65c943b9a376p-4
0.6000000000000003,0x1.c8d50da8cb614p-1,-0x1.0f77767c57e48p-1,-0x1.9d4d8f61413edp-1,-0x1.abe3082b4fc52p-4,0x1.560bc59014b5cp-4,-0x1.7ff79f687428fp-3,-0x1.92f7d5f2a8fd8p-1,0x1.4206e4a747614p-3,-0x1.1323a1caa2b80p-4,-0x1.fcc026ed8e354p-5
0.6300000000000003,0x1.c4ad9af6f82d3p-1,-0x1.2ab24cfb21c8cp-1,-0x1.aaeac5f6f5580p-1,-0x1.81c6ba19e2e40p-4,0x1.6a497754c3204p-4,-0x1.817af45178310p-3,-0x1.943a5fb7437c0p-1,0x1.21e58b714ce6cp-3,0x1.1484c2b20649cp-8,-0x1.823494928b34fp-4
0.6600000000000004,0x1.c06dd2d9f6d8bp-1,-0x1.45914c20a082ap-1,-0x1.b9731695d6cd2p-1,-0x1.5814ca6b33120p-4,0x1.7e8ff9ab563d1p-4,-0x1.7fb1d14fe3626p-3,-0x1.95af7783d0580p-1,0x1.396401e758994p-3,0x1.2cf7ac140a0b5p-5,-0x1.8bf71fe222584p-4
0.6900000000000004,0x1.bc17ba8cb7f60p-1,-0x1.60140971e90bap-1,-0x1.c8d5454f81a02p-1,-0x1.2e06a24f7ac96p-4,0x1.92d77dbfc9fadp-4,-0x1.7bc228f23a20cp-3,-0x1.972c9cdaa86c9p-1,0x1.210348f8603eap-3,0x1.292e10f9f6aeap-4,-0x1.af1d2b4f1dc61p-4
0.7200000000000004,0x1.b7ad7ef6be900p-1,-0x1.7a1c66f5a5298p-1,-0x1.d90fcac36c960p-1,-0x1.02e90f6fc2663p-4,0x1.a70e2a2c217cep-4,-0x1.76b13181a5a92p-3,-0x1.98b878b469268p-1,0x1.3540b231a11c7p-3,0x1.2548581e3f646p-4,-0x1.bb7ed749593ebp-4
0.7500000000000004,0x1.b3314beda91b5p-1,-0x1.93a89a828f463p-1,-0x1.ea20dda3b0cbbp-1,-0x1.ad0bbb1ed8cb6p-5,0x1.bb4735429450fp-4,-0x1.70c77bdce99aep-3,-0x1.9a497f1527f00p-1,0x1.216e27d98e455p-3,0x1.93f0b24377b66p-4,-0x1.c8f9cdc35813ap-4
0.7800000000000005,0x1.aea545fc85e43p-1,-0x1.acdbb8ff7b25ep-1,-0x1.fbda33949b829p-1,-0x1.505fd576e4295p-5,0x1.cf41dc9d77800p-4,-0x1.6aa73c328053cp-3,-0x1.9bae89f98e9a4p-1,0x1.3671a863ff824p-3,0x1.47263c245da52p-4,-0x1.68af9cf15f15dp-4
